page_content,source
"English

Hindi

Gujarati

Specials

Trending Stocks

Ola Electric INE0LXG01040, OLAELEC, 544225

Suzlon Energy INE040H01021, SUZLON, 532667

Adani Enterpris INE423A01024, ADANIENT, 512599

Rail Vikas INE415G01027, RVNL, 542649

IRFC INE053F01010, IRFC, 543257



Quotes

Mutual Funds

Commodities

Futures & Options

Currency

News

Cryptocurrency

Forum

Notices

Videos

Glossary

All

Hello, Login Hello, LoginLog-inor Sign-UpMy AccountMy Profile My PortfolioMy WatchlistFREE Credit Score₹100 Cash RewardFixed DepositsMy AlertsMy MessagesPrice AlertsMy Profile My PROMy PortfolioMy WatchlistFREE Credit Score₹100 Cash RewardFixed DepositsMy AlertsMy MessagesPrice AlertsLogoutChat with UsDownload AppFollow us on:

Go Ad-Free

My Alerts",https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
"
MarketsHOMEINDIAN INDICESSTOCK ACTIONAll StatsTop GainersTop LosersOnly BuyersOnly Sellers52 Week High52 Week LowPrice ShockersVolume ShockersMost Active StocksGLOBAL MARKETSUS MARKETSSEASONALITY ANALYSISSTOCK SCANNERECONOMIC INDICATORSECONOMIC CALENDARMARKET ACTIONDashboardF&OFII & DII ActivityCorporate ActionEARNINGSCOMMODITYSECTOR ANALYSISPRE MARKETRESEARCHInvestment AdviceTechnicalsCURRENCYCRYPTOCURRENCYTECHNICAL TRENDSBIG SHARK PORTFOLIOSIPOBONDSWEBINARINTERVIEW SERIESOTHERSCryptocurrency NewsToolsNewsLATEST NEWSBUSINESSEconomyCompaniesMutual FundsPersonal FinanceIPOStartupReal EstateNATION & WORLDIndiaWorldPoliticsMARKETSStocksTechnical AnalysisEquity ResearchCommoditiesCurrencyGold RateSilver RateAQISPECIALTrendsLatest NewsOpinionExplainersMC BuzzMC FeaturesMC LearnTECHNOLOGYPersonal TechAutoFintechMEDIAPodcastPhotosVideosWeb StoriesCRYPTOCURRENCYOTHERSEntertainmentSportsLifestyleHealth and FitnessEducationJobsScienceAstroTravelTechIndiaPortfolioWatchlistCommoditiesMutual FundsEXPLOREHomeFind FundTop Ranked FundsPerformance TrackerSIP Performance TrackerETF PerformanceNFOTop Performing CategoriesLearnTOOLSReturns CalculatorLumpsum SIP BalancerDelay Cost CalculatorSIP ReturnMF FORUMTRACKYour MF InvestmentMF PricesMC 30Personal FinanceEXPLOREHomeInvestingInsuranceBankingFinancial PlanningPropertyToolsVideoAsk ExpertExplainerNPSFIXED DEPOSITFDs @ 9",https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
.1% p.a,https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
.Fixed Deposit ComparisonFixed Deposit Interest CalculatorCorporate DepositsTAXIncome tax Filing GuideIncome Tax Calculator											 LTCG Tax on PropertyLOANS & CREDIT CARDSHomeLoans												 EMI CalculatorCar Loan CalculatorHome Loan CalculatorEducation Loan CalculatorCredit Card Debit Payoff CalculatorTOOLSProvident Fund CalculatorAssets Allocation PlanningDebt Reduction PlannerDebt Evaluation CalculatorCurrent Expense CalculatorFREE CREDIT SCORE₹100 Cash RewardREAL ESTATE : TRENDS & ANALYTICSMC 30MONEYCONTROL - SECURENOW HEALTH INSURANCE RATINGSGOLD PRICE TODAYUpcoming Chat | Previous TranscriptsAll Schedule | Previous TranscriptForumEXPLORE FORUMHomepageMembership RulesForum TopicsAsk the ExpertTop BoardersUSER PROFILEFORUM TOPICSLatest ThreadsStocksIndexGoldPersonal FinanceJust PostedMF FORUMPOLLSLatest PollsHistorical PollsMarket SentimentsSUPPORTFAQsCode of ConductFeedbackWrite to usVideosVIDEOSHomepageVideos on DemandMarkets with Santo & CJMorning TradeCommodities chat with Manisha GuptaLet`s Talk JobsThe TenantDrive ReportBajar GupshupBits To BillionsPODCASTHomepagePodcast on DemandThe Week on Dalal StreetMarket MinutesMC Special PodcastSimply SavePolicy TalksLIVE TVHindiGujaratiInvest Now,https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
.investNW .invest-top-sec{flex-direction: column;height:55px;},https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
".invst-menu .mcp_btn_blue_tp {top:103%;right:auto;left:10px;}
		.invst-menu .subc_list>li:first-child{min-height:auto;}
		.invst-menu .subc_list>li:first-child:hover{background:#fff;}
		.investNW .subc_fl, .investNW .subc_fr{width:33%;padding-right:10px;border-right: 1px dotted #CBCBCB;overflow: hidden;height: 200px;}
		.investNW .subc_fr {padding-left:10px;}
		.investNW .subc_fr:last-child {border-right: none;}
		.investNW .subc_list>li>a{padding:7px 0px 7px 10px;height:115px;}
		.investNW .tit-txt1 {padding-right:10px !important;}
		.investNW .tit-txt2{padding-right:10px;}
		.investNW .subc_list.first{border-left:none;}
		.investNW .rgt-sd{margin-top:5px;}",https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
".investNW .sepInvsli a.pdg_btm{ padding-bottom: 46px; }
		.header_desktop.header1024 .investNW .sepInvsli a.pdg_btm{padding-bottom: 0px;}
		@media screen and (max-width:1279px) { 
			.investNW .sepInvsli a.pdg_btm{ padding-bottom: 0px; }",https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
".header_desktop.header1024 .investNW .sepInvsli a.pdg_btm{padding-bottom: 0px;}
		@media screen and (max-width:1279px) { 
			.investNW .sepInvsli a.pdg_btm{ padding-bottom: 0px; } 
		}INVEST IN CRYPTOassetsPowered By Invest in top cryptocurrencies all over the worldSee the top gainers, losers, invest and get updated what's happening in the crypto marketInvest NowBOTS Summit (FY 24-25)Powered By Bharat option traders summit - 2024India's Largest Regional Retail Option Traders Summit. (BOTS) is a prestigious options trading event organized by Traders Gurukul. Held on the 2nd OR 3rd Sunday of every month, across top cities in IndiaInvest NowOpen Trading AccountPowered By ""Open Trading Account"" formerly know as TradeNowThis functionality will provide users with ease of access navigation and enable create a new revenue line by generating leads of potential customers for brokers in a more integrated manner.Invest NowPRO BusinessMarketsStocksEconomyCompaniesTrendsIPOOpinionEV Special",https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
">->MC_ENG_DESKTOP/MC_ENG_NEWS/MC_ENG_STOCKS_AS/MC_ENG_ROS_NWS_STK_AS_ATF_728

Go PRO @₹99

PRO

Advertisement

Remove Ad



MarketsHOMEINDIAN INDICESSTOCK ACTIONAll StatsTop GainersTop LosersOnly BuyersOnly Sellers52 Week High52 Week LowPrice ShockersVolume ShockersMost Active StocksGLOBAL MARKETSUS MARKETSSEASONALITY ANALYSISSTOCK SCANNERECONOMIC INDICATORSECONOMIC CALENDARMARKET ACTIONDashboardF&OFII & DII ActivityCorporate ActionEARNINGSCOMMODITYSECTOR ANALYSISPRE MARKETRESEARCHInvestment AdviceTechnicalsCURRENCYCRYPTOCURRENCYTECHNICAL TRENDSBIG SHARK PORTFOLIOSIPOBONDSWEBINARINTERVIEW SERIESOTHERSCryptocurrency NewsTools",https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
"NewsLATEST NEWSBUSINESSEconomyCompaniesMutual FundsPersonal FinanceIPOStartupReal EstateNATION & WORLDIndiaWorldPoliticsMARKETSStocksTechnical AnalysisEquity ResearchCommoditiesCurrencyGold RateSilver RateAQISPECIALTrendsLatest NewsOpinionExplainersMC BuzzMC FeaturesMC LearnTECHNOLOGYPersonal TechAutoFintechMEDIAPodcastPhotosVideosWeb StoriesCRYPTOCURRENCYOTHERSEntertainmentSportsLifestyleHealth and FitnessEducationJobsScienceAstroTravel

Tech

India

Portfolio

Watchlist

Commodities

Mutual FundsEXPLOREHomeFind FundTop Ranked FundsPerformance TrackerSIP Performance TrackerETF PerformanceNFOTop Performing CategoriesLearnTOOLSReturns CalculatorLumpsum SIP BalancerDelay Cost CalculatorSIP ReturnMF FORUMTRACKYour MF InvestmentMF PricesMC 30",https://www.moneycontrol.com/news/business/stocks/buy-kolte-patil-developers-target-of-rs-700-motilal-oswal-12615851.html
